Country, Mwi, Mwi_level, Total_waste, Skip_1, Skip_2, Skip_3, Skip_4, Skip_5, Skip_6
"Panama",91.56,"Very High",85364,78158,19.9,0,0,3133,477
"Kuwait",93.66,"Very High",350000,327798,80.3,9380,0,3467,2000
"Croatia",22.3,"Low",100078,22314,24.7,8680,3580,4875,136
"Eritrea",97.34,"Very High",57832,56291,16.3,0,0,31383,343
"Georgia",80.27,"Very High",24000,19265,6.4,1210,10,1110,118
"Mongolia",98.47,"Very High",420500,414064,127.6,3360,0,8434,2526
"Uruguay",96.08,"Very High",123346,118506,36,990,310,3095,723
"Moldova",89.82,"Very High",398120,357604,151.1,3180,0,1055,2181
"Puerto Rico",22.89,"Low",433779,99289,132.2,0,0,2839,606
"Bosnia and Herzegovina",72.42,"High",153293,111019,46.2,6560,0,14249,677
"Gambia",97.27,"Very High",18764,18252,7.3,0,0,186,111
"Albania",69.9,"High",109725,76692,38.7,0,0,1431,468
"Jamaica",98.18,"Very High",50262,49348,17.8,4160,0,1204,301
"Armenia",97.76,"Very High",56179,54918,20,450,130,1433,335
"Qatar",77.34,"High",166011,128401,60.1,0,0,3399,783
"Botswana",94.86,"Very High",25885,24553,10.2,260,110,1175,150
"Lithuania",6.26,"Very Low",131950,8254,47.2,32900,37910,3667,50
"Namibia",95.57,"Very High",31516,30120,12.7,250,170,21653,184
"Gabon",88.1,"Very High",29230,25752,12.7,0,0,8358,157
"Lesotho",95.18,"Very High",7828,7450,3.5,0,0,1473,45
"Guinea-Bissau",97.28,"Very High",23032,22406,11.4,0,0,241,137
"Slovenia",6.34,"Very Low",83171,5270,39.6,72050,61620,4006,32
"North Macedonia",41.52,"Medium",97789,40603,47.2,7820,590,14812,248
"Latvia",24.04,"Low",65989,15865,34.7,14720,36480,14012,97
"Equatorial Guinea",64.53,"High",24361,15719,15.3,0,0,745,96
"Trinidad and Tobago",87.9,"Very High",139533,122655,91.9,0,0,1752,748
"Bahrain",4.63,"Very Low",70444,3261,47.7,710,0,2198,20
"Timor-Leste",88.3,"Very High",10539,9306,8.1,0,0,563,17
"Estonia",28.33,"Low",34413,9749,25.9,6350,1370,4969,59
"Mauritius",15.47,"Low",54312,8402,42.9,1800,0,759,51
"Cyprus",19.11,"Low",43771,8364,35.4,4580,1020,2103,51
"Eswatini",84.21,"Very High",23252,19580,19.7,930,60,435,119
"Djibouti",88.2,"Very High",2255,10809,11.2,0,0,805,66
"Fiji",60.56,"High",14204,8602,15.4,1170,0,21710,52
"Comoros",97.06,"Very High",4551,4417,5.6,0,0,136,27
"Guyana",25.57,"Low",25454,6508,31.9,0,0,655,40
"Bhutan",80.32,"Very High",14471,11623,18.7,0,170,373,71
"Solomon Islands",100,"Very High",40224,40224,58.2,0,0,337,245
"Macau",67.09,"High",221852,148850,328,0,0,1884,908
"Luxembourg",0.12,"Very Low",64080,74,101.6,10470,1140,1560,0
"Suriname",100,"Very High",8648,8648,14.2,0,0,590,53
"Montenegro",89.95,"Very High",61154,55011,98.4,490,300,655,336
"Cape Verde",82.54,"Very High",14126,11659,24.2,0,0,252,71
"Malta",7.07,"Very Low",32280,2284,62.6,2170,0,1712,14
